country,v9,v10,v12,v15,v25t,v25,p20045,p2006,p2007,p2008,p2009,p2010,p2011,p2012,p2013a,p2013b,p2014a
Austria,,,,4,4,10,81140,82065,82659,82989,83319,83553,83753,84043,84430,84430,84519
Belgium,5,5,5,5,5,12,103964,104459,105114,105845,106176,106273,106377,106370,105418,105418,105161
Bulgaria,,,,,,10,,,77188,76793,76402,76066,75637,75049,73272,73272,72846
Croatia,,,,,,7,,,,,,,,,,43982,42621
Cyprus,,,,,2,4,7304,7492,7664,7787,7893,7969,8031,8044,862,862,8659
Czech Republic,,,,,5,12,102115,102206,102511,102872,103811,104675,105068,105328,105054,105054,104873
Denmark,3,3,3,3,3,7,53976,54114,54275,54471,54758,55115,55347,55606,55805,55805,56026
Estonia,,,,,3,4,13506,13470,13447,13424,13409,13404,13401,13402,13397,13397,13248
Finland,,,,3,3,7,52197,52366,52556,52769,53005,53263,53514,53753,54013,54013,54108
France,10,10,10,10,10,29,616847,623708,628862,633921,637531,643508,647141,650754,653979,653979,656332
Germany,10,10,10,10,10,29,825317,825008,82438,823149,822178,820024,818023,817516,818437,818437,805237
Greece,,5,5,5,5,12,110411,110730,111252,111717,112138,112604,113051,113259,112909,112909,111616
Hungary,,,,,5,12,101167,100975,100766,100661,100454,100310,100143,99857,99577,99577,99088
Ireland,3,3,3,3,3,7,40275,41092,4209,43194,44013,44500,44679,44809,45828,45828,45911
Italy,10,10,10,10,10,29,578882,584624,587517,591313,596193,600451,603403,606264,608208,608208,596852
Latvia,,,,,3,4,23192,23064,22946,22813,22709,22613,22484,22296,20555,20555,20588
Lithuania,,,,,3,7,34459,34253,34033,33849,33664,33499,33290,32446,30078,30078,29719
Luxembourg,2,2,2,2,2,4,4516,455,4595,4762,4838,4935,5021,5118,5249,5249,537
Malta,,,,,2,3,3999,4027,4043,4078,4103,4136,413,4176,4161,4161,4214
Netherlands,5,5,5,5,5,13,162580,163055,163342,16358,164054,164858,165750,166558,167303,167303,167796
Poland,,,,,8,27,381906,381738,381571,381255,381156,381359,381673,382000,385384,385384,385333
Portugal,,,5,5,5,12,104747,105293,105696,105991,106669,107500,108270,109184,110413,110413,110625
Romania,,,,,,14,,,216102,215651,215286,214986,214622,214138,213558,213558,200575
Slovakia,,,,,3,7,53801,53848,53892,53936,54010,54123,54249,54353,54043,54043,54267
Slovenia,,,,,3,4,19964,19976,20034,20103,20259,20324,20470,20502,20418,20418,20238
Spain,,,8,8,8,27,423453,430380,437583,444746,452833,458282,459890,461529,461963,461963,467043
Sweden,,,,4,4,10,89757,90114,90478,91132,91829,92563,93407,94156,94829,94829,95559
United Kingdom,10,10,10,10,10,29,596515,600632,604219,608238,612241,615761,620080,624357,629896,629896,637301
